USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     30512  0.0  0.0      0     0 ?        S    09:39   0:00  \_ [kworker/1:2]
root      7516  0.0  0.0      0     0 ?        S    09:45   0:00  \_ [kworker/2:2]
root      9643  0.0  0.0      0     0 ?        S    09:47   0:00  \_ [kworker/1:0]
root     15235  0.0  0.0      0     0 ?        S    09:50   0:00  \_ [kworker/u8:3]
root     17229  0.0  0.0      0     0 ?        S    09:52   0:00  \_ [kworker/0:0]
root     17456  0.1  0.0      0     0 ?        S    09:52   0:01  \_ [kworker/2:0]
root     21986  0.0  0.0      0     0 ?        S    09:55   0:00  \_ [kworker/u8:0]
root     25859  0.0  0.0      0     0 ?        S    09:58   0:00  \_ [kworker/3:2]
root     26610  0.0  0.0      0     0 ?        S    09:59   0:00  \_ [kworker/1:1]
root     27796  0.0  0.0      0     0 ?        S    09:59   0:00  \_ [kworker/0:1]
root     29185  0.0  0.0      0     0 ?        S    10:00   0:00  \_ [kworker/u8:1]
root      1359  0.1  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/3:0]
root      1360  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:2]
root      1361  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:4]
root      1362  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:5]
root      1363  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:6]
root      1364  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:7]
root      1365  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:8]
root      1366  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:9]
root      1367  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:10]
root      1368  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:11]
root      1369  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:12]
root      1370  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:13]
root      1371  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:14]
root      1372  0.0  0.0      0     0 ?        S    10:03   0:00  \_ [kworker/u8:15]
root      1373  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:16]
root      1374  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:17]
root      1375  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:18]
root      1376  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:19]
